comment,label
Now I understand better why handmade stuff are so expensive.,2.0
"Imagine someone sharing A-Z of their business in such a detail. 
In conclusion: Pottery cannot be done by everybody. It is the talent and years and years of practice. And he knows he’s the best at it",2.0
The filming and narration is done so beautifully and elegantly i didn’t notice 25minutes passes by ,2.0
I can't believe I am watching this for free,2.0
"There's a local Japanese store that sells handmade teaware... Yeah, I'm definitely buying a full set after seeing how much goes into making this beautiful ART",2.0
"I am not an artist and not even remotely a potter, and still I watched the whole 25 minutes of your video without skipping. Such a careful, meticulous process, narrated scientifically. Such great work! So amazed to learn how the humble cup is made.",2.0
I was so excited for him to open the kiln and find all the beauty inside. Thank you for this video. Enjoyed every minute of it ❤,2.0
This video makes me want to buy from smaller businesses. You can almost feel how everything is made with love and a lot consideration. Every piece has his own unique touch to it and i love that. 🥰✨,2.0
"Going to be really studying your videos this semester. Ceramics has always been daunting to me, and now I have to take the class to meet the class requirements for my major. So far it has been astoundingly helpful in assisting me with understanding the overall process. I feel that with your videos as reference, I may just survive this. Thank you on behalf of all of us struggling students",2.0
"i’m in my last semester of senior year and i’m only now taking ceramics and really falling in love with clay! i love these videos, thank you for showing us your incredible process :)",2.0
"From now on, I’ll see my cups, plates differently, with much respect to the artists who made them",2.0
"Watching the amount of skill going into these coffee cups makes me appreciate my local potters' works even more. Usually as artists, we get questioned why our works are so expensive.  However, I think it's important customers and clients understand why the cost is as it is- the amount of skill, the time spent refining those skills and producing these creations, etc going into a product/piece.",1.0
As a person who is fascinated with ceramics and somebody who wants to start doing something with stoneware in near future I would have never imagined that I would find a video with so much practical knowledge packet in it. Thank You.,2.0
"Amazingly informative! Best simplified explanation I've heard of what happens in a reduction atmosphere. BTW folks if you struggle w pulling handles you can do it upside down for a bit. just slap some clay down on the edge of your wedging table. Pull up. When it gets long enough it will flop over and hang. You can pull downwards at this point if more is needed. I like doing it this way cause the ""flop"" produces a nice organic curve, useful for ear-profile handles",2.0
Such passion and poetry amongst the technical detail and heritage references. Very well done video and I learned so much. I will start to get into pottery thank you,2.0
"I love watching and listening to your videos. They are beautiful to watch and I love your style of narration. I think people learn best when they know the reason they are doing something and you explain your reasons and methods so well. I have just started throwing and I happened upon one of your videos and have now watched several, some a couple of times over.  Thank you so much for creating this content.",2.0
Impressive! It's funny to see how potters do things so differently from one to an other! Thank you for the tricks!,2.0
You can clearly hear the the passion for the craft on the potter's voice. Thank you for sharing your craft. I was trying to show my 4 year old how cups are made before putting him to sleep and ended up watching all 24 and a half minutes of you. Thank you for this. You gained two fans. My son was blown away :),2.0
"I know i'm late to the party with this video but I'm currently on an 8 week pottery course and I'm hooked. I really like the how these look at the end but I'm wondering, is this look specific as a result of reduction firing or can it be acheived in an electric kiln?",2.0
"The sadness I felt when I discovered everything was sold out was astronomical, though I couldn’t have afforded anything anyway. I love the work you do :D",2.0
"I love doing pottery! It's so meditative, at least when it's a hobby. Don't know what it's like if you do it to earn a living though...
I mostly make decorative masks and forest themed decoration and thinking about selling it on Etsy at some point.",2.0
"Personally I hand paint my glaze on. Its more of a personal method in a way, it makes me feel more proud when they come out because I spent so much time on them:) (I'm a high school student so I'm not very experienced but I enjoy the glazing process)",1.0
"I would love to try pottery but it just seems so complicated. I’m a truck driving father of 2 @ 41 working 70 hours a week and rarely home. I fear I don’t have the time to learn pottery but I love watching your content it’s very calming and interesting.
",2.0
This is so beautiful ❤️.,2.0
"I'm not sure you'll share this info but can't hurt to ask, but what glaze do you use or what's in your glaze mix? I absolutely love the color and how the color on the edges change ever so slightly.",2.0
